Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
GO_bp	GO_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	103	48	4.385268299689158e-19	3.2231722002715313e-15	RPL5:RPS24:RPS3:RPS26:RPL41:RPLP0:SRP14:RPL4:RPS17:RPS17L:RPS2:RPS15A:RPL13:RPL23A:RPL19:RPS15:RPS28:UBA52:RPS16:RPS19:RPL18:RPS9:RPS5:RPS7:RPL31:RPL37A:ZFAND2B:SNAP25-AS1:RPL32:RPL15:RPSA:RPL14:RPL29:RPL24:SEC62:RPL34:RPS3A:RPL37:RPS23:RPS14:RPS18:RPL10A:RPS12:RPS20:TRAM1:RPL8:RPS6:RPL7A:RPS4X	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE
GO_bp	GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	116	49	2.9558819073379677e-17	1.0862866009467032e-13	RPL5:RPS24:RPS3:RPS26:RPL41:RPLP0:SRP14:RPL4:RPS17:RPS17L:RPS2:RPS15A:RPL13:RPL23A:RPL19:RPS15:RPS28:UBA52:RPS16:RPS19:RPL18:RPS9:RPS5:RPS7:RPL31:RPL37A:ZFAND2B:SNAP25-AS1:RPL32:RPL15:RPSA:RPL14:RPL29:RPL24:SEC62:RPL34:RPS3A:SPCS3:RPL37:RPS23:RPS14:RPS18:RPL10A:RPS12:RPS20:TRAM1:RPL8:RPS6:RPL7A:RPS4X	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM
GO_bp	GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	119	49	1.0412536541930937e-16	2.5510714527730795e-13	RPL5:RBM8A:RPS24:RPS3:MAGOHB:RPS26:RPL41:RPLP0:RPL4:RPS17:RPS17L:RPS2:RPS15A:RPL13:RPL23A:RPL19:CASC3:SMG8:RPS15:RPS28:UBA52:RPS16:RPS19:DHX34:RPL18:RPS9:RPS5:RPS7:RPL31:RPL37A:RPL32:RPL15:RPSA:RPL14:RPL29:RPL24:NCBP2:RPL34:RPS3A:RPL37:RPS23:RPS14:RPS18:RPL10A:RPS12:RPS20:RPL8:RPS6:RPL7A:RPS4X	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY
GO_bp	GO_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	140	53	4.46424722923751e-16	8.203054283723926e-13	ANKRD13C:RPL5:RPS24:RPS3:RPS26:RPL41:RPLP0:SRP14:RPL4:RPS17:RPS17L:RPS2:RPS15A:RPL13:RPL23A:RPL19:RPS15:RPS28:UBA52:RPS16:RPS19:KDELR1:RPL18:RPS9:RPS5:RPS7:RPL31:RPL37A:ZFAND2B:SNAP25-AS1:KDELR3:RPL32:RPL15:RPSA:RPL14:RPL29:RPL24:SEC62:RPL34:RPS3A:SPCS3:RPL37:RPS23:RPS14:RPS18:RPL10A:RPS12:INSIG1:RPS20:TRAM1:RPL8:RPS6:RPL7A:RPS4X	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM
GO_bp	GO_VIRAL_GENE_EXPRESSION	190	63	1.4388542660226713e-15	2.115115771053327e-12	RPL5:USF1:RPS24:IFITM3:POLR2L:EIF3F:RPS3:AAAS:PCBP2:RPS26:RPL41:RPLP0:RPL4:RPS17:RPS17L:RPS2:RPS15A:MON1B:RPL13:RPL23A:CCL4:RPL19:RPS15:RPS28:UBA52:RPS16:RPS19:RPL18:RPS9:RPS5:RPS7:RPL31:CCNT2:RPL37A:RAE1:SMARCB1:NUP50:RPL32:RPL15:RPSA:RPL14:RPL29:RPL24:RPL34:RPS3A:RPL37:RPS23:RPS14:TRIM27:RPS18:RPL10A:RPS12:NUP43:NUPL2:POM121:POM121C:MDFIC:RPS20:RPL8:RPS6:TRIM14:CDK9:RPL7A:RPS4X	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_VIRAL_GENE_EXPRESSION
GO_bp	GO_TRANSLATIONAL_INITIATION	187	60	3.587971817576292e-14	4.395265476530957e-11	RPL5:UHMK1:PPP1R15B:EIF4EBP2:RPS24:EIF3F:PPP1CA:RPS3:RPS26:RPL41:RPLP0:EIF2S1:EIF5:EIF3J:RPL4:RPS17:RPS17L:RPS2:RPS15A:RPL13:EIF4A1:RPL23A:RPL19:MIF4GD:RPS15:RPS28:UBA52:EIF3K:RPS16:RPS19:RPL18:RPS9:RPS5:RPS7:RPL31:NCK2:RPL37A:EIF2S2:RPL32:RPL15:RPSA:RPL14:RPL29:RPL24:NCBP2:RPL34:RPS3A:RPL37:RPS23:EIF4EBP3:RPS14:RPS18:RPL10A:RPS12:EIF4H:RPS20:RPL8:RPS6:RPL7A:EIF2S3:RPS4X	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_TRANSLATIONAL_INITIATION
GO_bp	GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	206	60	3.8907818582703315e-12	4.085320951183848e-09	RPL5:RBM8A:RPS24:NANOS1:RPS3:MAGOHB:RPS26:RPL41:RPLP0:RPL4:RPS17:RPS17L:RPS2:RPS15A:RPL13:RPL23A:RPL19:CASC3:SMG8:RPS15:RPS28:UBA52:RPS16:EXOSC5:RPS19:DHX34:RPL18:RPS9:RPS5:RPS7:ZFP36L2:RPL31:RPL37A:RPL32:RPL15:RPSA:RPL14:RPL29:PDE12:RPL24:NCBP2:RPL34:EXOSC9:CCRN4L:RPS3A:RPL37:PAPD4:RPS23:RPS14:LSM2:RPS18:RPL10A:RPS12:LSM5:CNOT7:RPS20:EXOSC4:RPL8:RPS6:RPL7A:RPS4X	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS
GO_bp	GO_PROTEIN_TARGETING_TO_MEMBRANE	197	56	5.6994465959061275e-11	5.236366559988755e-08	RPL5:RPS24:RPS3:RPS26:RPL41:RPLP0:SRP14:SLC51B:RPL4:RPS17:RPS17L:CIB1:RPS2:RPS15A:RPL13:RPL23A:RPL19:RPS15:RPS28:UBA52:RPS16:RPS19:RPL18:RPS9:RPS5:RPS7:RPL31:RPL37A:ZFAND2B:SNAP25-AS1:ITGB2:RPL32:RPL15:RPSA:RPL14:RPL29:ARL6:RPL24:ATG3:SEC62:RPL34:RPS3A:RPL37:RPS23:RPS14:RPS18:RPL10A:RPS12:ZDHHC4:RPS20:TRAM1:RPL8:ZDHHC21:RPS6:RPL7A:RPS4X:GDI1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_PROTEIN_TARGETING_TO_MEMBRANE
GO_bp	GO_AMIDE_BIOSYNTHETIC_PROCESS	835	157	1.7322431435033694e-10	1.414665233861085e-07	NSUN4:PARS2:RPL5:RBM8A:B4GALT3:UHMK1:MRPS14:PPP1R15B:MIR135B:VIM:PTPLA:EIF4EBP2:SAMD8:RPS24:SCD:NANOS1:EIF3F:DNAJC24:PDHX:PRG3:EEF1G:MRPL49:MRPL11:PPP1CA:CARNS1:RPS3:GAPDH:ORMDL2:RPS26:RPL41:RPLP0:GATC:C12orf65:MRPS31:RBM23:SPTSSA:RPL36AL:EIF2S1:ARG2:GSTZ1:SPTLC2:EIF5:DPH6:CHAC1:EIF3J:RPL4:IREB2:RPS17:RPS17L:NGRN:MRPS34:RPS2:RPS15A:RPL13:C1QBP:EIF5A:EIF4A1:FXR2:RPL23A:RPL19:CASC3:MRPL10:MRPS7:MIF4GD:B4GALT6:NARS:RPS15:ELAVL1:RPS28:GCDH:GADD45GIP1:UBA52:CEBPA:EIF3K:MRPS12:RPS16:RPS19:RPL18:RPS9:RPS5:RPS7:ZFP36L2:MRPL19:RPL31:NCK2:B3GALT1:ORMDL1:RPL37A:MTERFD2:MIR103A2:EIF2S2:MTG2:MIR124-3:MRPS6:GGTLC2:RPL32:MRPS25:DPH3:RPL15:RPSA:RPL14:RPL29:TRMT10C:RPL24:EEFSEC:RPL39P5:SERP1:RPL22L1:EIF5A2:NCBP2:RPL34:ELOVL6:SLC7A11:RPS3A:MRPL36:RPL37:MRPS36:ENC1:GFM2:DHFR:RPS23:ST8SIA4:EIF4EBP3:RPS14:TNIP1:MIR218-2:GNB2L1:FARS2:EEF1E1:MRPS18B:RPS18:B3GALT4:UQCC2:RPL10A:MRPS10:EEF1A1:FOXO3:RPS12:MALSU1:GGCT:MRPL32:MRPS17:MRPS17:EIF4H:MIR29A:CNOT7:MRPL15:RPS20:MRPS28:EEF1D:MIR939:RPL8:RPS6:RP11-203J24.9:ST6GALNAC6:RPL7A:PDHA1:EIF2S3:RBM3:RPS4X	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_AMIDE_BIOSYNTHETIC_PROCESS
GO_bp	GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	325	77	3.038724109332874e-10	2.2334622203596627e-07	CLSTN1:RPL5:GOLPH3L:BLZF1:RPS24:BBS1:RPS3:RPS26:RPL41:RPLP0:TIMM9:CALM1:MOAP1:LINC00341:SYNE3:SRP14:BMF:SLC51B:RPL4:RPS17:RPS17L:CIB1:RPS2:RPS15A:RPL13:TUSC5:RPL23A:RPL19:GGA3:BCL2:RPS15:RPS28:UBA52:PDCD5:RPS16:RPS19:BBC3:RPL18:RPS9:RPS5:RPS7:REEP1:RPL31:BCL2L11:RPL37A:ZFAND2B:SNAP25-AS1:ROMO1:YWHAB:ITGB2:BID:RPL32:RPL15:RPSA:RPL14:RPL29:ARL6:RPL24:ATG3:SEC62:RPL34:RPS3A:RPL37:RPS23:RPS14:GNB2L1:RPS18:RPL10A:RPS12:ZDHHC4:PPP3CC:RPS20:TRAM1:RPL8:ZDHHC21:RPS6:RPL7A:RPS4X:GDI1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE
