"rowname" "Overall"
"1" "exon1_win1" 0
"2" "exon1_win2" 0
"3" "exon1_win3" 0
"4" "exon10_win1" 0
"5" "exon10_win2" 100
"6" "exon10_win3" 0
"7" "exon2_win1" 0
"8" "exon2_win2" 0
"9" "exon2_win3" 0
"10" "exon3_win1" 0
"11" "exon3_win2" 0
"12" "exon3_win3" 0
"13" "exon4_win1" 0
"14" "exon4_win2" 0
"15" "exon4_win3" 0
"16" "exon5_win1" 0
"17" "exon5_win2" 0
"18" "exon5_win3" 0
"19" "exon6_win1" 0
"20" "exon6_win2" 0
"21" "exon6_win3" 0
"22" "exon7_win1" 0
"23" "exon7_win2" 0
"24" "exon7_win3" 0
"25" "exon8_win1" 0
"26" "exon8_win2" 0
"27" "exon8_win3" 0
"28" "exon9_win1" 0
"29" "exon9_win2" 0
"30" "exon9_win3" 0
"31" "flank1_win1" 0
"32" "flank1_win2" 0
"33" "flank1_win3" 0
"34" "flank2_win1" 47.4853732959041
"35" "flank2_win2" 13.8766565487086
"36" "flank2_win3" 0
"37" "intron1_win1" 0
"38" "intron1_win2" 0
"39" "intron1_win3" 0
"40" "intron2_win1" 0
"41" "intron2_win2" 0
"42" "intron2_win3" 0
"43" "intron3_win1" 0
"44" "intron3_win2" 0
"45" "intron3_win3" 0
"46" "intron4_win1" 0
"47" "intron4_win2" 0
"48" "intron4_win3" 0
"49" "intron5_win1" 0
"50" "intron5_win2" 0
"51" "intron5_win3" 0
"52" "intron6_win1" 0
"53" "intron6_win2" 0
"54" "intron6_win3" 0
"55" "intron7_win1" 0
"56" "intron7_win2" 0
"57" "intron7_win3" 0
"58" "intron8_win1" 0
"59" "intron8_win2" 0
"60" "intron8_win3" 0
"61" "intron9_win1" 0
"62" "intron9_win2" 0
"63" "intron9_win3" 0
