"rowname" "Overall"
"1" "exon1_win1" 25.6283877027427
"2" "exon1_win2" 49.9158896738686
"3" "exon1_win3" 28.2421160251117
"4" "exon10_win1" 28.7577358388154
"5" "exon10_win2" 5.39837301515872
"6" "exon10_win3" 53.7117550035622
"7" "exon2_win1" 74.3337237977224
"8" "exon2_win2" 50.2472916571899
"9" "exon2_win3" 50.4836854263173
"10" "exon3_win1" 12.4421017691161
"11" "exon3_win2" 69.8865758366315
"12" "exon3_win3" 70.555869866308
"13" "exon4_win1" 73.9805880509719
"14" "exon4_win2" 21.4842735611729
"15" "exon4_win3" 53.3435486846363
"16" "exon5_win1" 0
"17" "exon5_win2" 99.5906922114985
"18" "exon5_win3" 93.7475819003764
"19" "exon6_win1" 19.8208941683275
"20" "exon6_win2" 48.7411161587192
"21" "exon6_win3" 12.0497065522356
"22" "exon7_win1" 83.7482787968771
"23" "exon7_win2" 79.3669403801228
"24" "exon7_win3" 84.9796675036236
"25" "exon8_win1" 77.586822944287
"26" "exon8_win2" 25.7419082371
"27" "exon8_win3" 15.2708867189567
"28" "exon9_win1" 46.9324136080987
"29" "exon9_win2" 49.1372345744674
"30" "exon9_win3" 48.9721326571753
"31" "flank1_win1" 8.00786294094794
"32" "flank1_win2" 9.22693466036303
"33" "flank1_win3" 87.4382239497687
"34" "flank2_win1" 87.5643791073015
"35" "flank2_win2" 66.8784244627983
"36" "flank2_win3" 10.5964009490142
"37" "intron1_win1" 88.4549400290732
"38" "intron1_win2" 82.6787358979941
"39" "intron1_win3" 24.3237509924075
"40" "intron2_win1" 44.536815372966
"41" "intron2_win2" 65.597056186934
"42" "intron2_win3" 11.8966019380416
"43" "intron3_win1" 51.7228983658916
"44" "intron3_win2" 100
"45" "intron3_win3" 31.8261859363094
"46" "intron4_win1" 56.2013166367309
"47" "intron4_win2" 41.9541913300616
"48" "intron4_win3" 3.27416529739893
"49" "intron5_win1" 2.28094297990721
"50" "intron5_win2" 49.5630741360176
"51" "intron5_win3" 31.231928573004
"52" "intron6_win1" 29.8430188509466
"53" "intron6_win2" 19.7243444892828
"54" "intron6_win3" 95.9054228630758
"55" "intron7_win1" 75.3511515049606
"56" "intron7_win2" 24.2345644583498
"57" "intron7_win3" 66.4749890144861
"58" "intron8_win1" 56.9186951293771
"59" "intron8_win2" 28.194867341111
"60" "intron8_win3" 47.731918095217
"61" "intron9_win1" 33.1507877673029
"62" "intron9_win2" 63.8386981328123
