"rowname" "Overall"
"1" "exon10_win2" 100
"2" "flank2_win1" 30.7727249967265
"3" "flank2_win2" 27.4105855285435
"4" "exon10_win3" 9.42510564231891
"5" "exon5_win2" 8.27842779227528
"6" "intron7_win2" 5.77016829964208
"7" "intron8_win3" 5.33107934978359
"8" "exon8_win3" 4.95451144846568
"9" "exon8_win2" 4.32771278183203
"10" "exon8_win1" 3.84668773695746
"11" "intron2_win3" 2.90265767465535
"12" "exon6_win1" 2.75576317072249
"13" "intron7_win1" 2.6649678544711
"14" "exon5_win3" 2.62233617696236
"15" "exon1_win3" 2.56191918606491
"16" "intron7_win3" 2.50454380441077
"17" "intron3_win1" 2.49299294707652
"18" "exon6_win2" 2.47022878175707
"19" "exon9_win1" 2.35844874770564
"20" "intron9_win3" 2.32067080981904
"21" "intron9_win1" 2.2202865699812
"22" "exon6_win3" 2.18894773716139
"23" "intron2_win2" 2.17514386340859
"24" "intron8_win2" 2.01971291131624
"25" "exon7_win1" 1.96757380141452
"26" "intron5_win2" 1.94441388934377
"27" "flank1_win1" 1.90591927030289
"28" "flank2_win3" 1.89744896467739
"29" "intron9_win2" 1.8532361033678
"30" "exon5_win1" 1.7943967067694
"31" "exon10_win1" 1.77852153275456
"32" "exon2_win2" 1.77692384581938
"33" "exon9_win2" 1.7264819646519
"34" "intron8_win1" 1.58327929666374
"35" "exon9_win3" 1.49425159397731
"36" "exon2_win1" 1.49064423176043
"37" "intron1_win1" 1.46632478006444
"38" "intron6_win2" 1.43573543193126
"39" "intron2_win1" 1.32342567337771
"40" "flank1_win3" 1.3127937037704
"41" "exon7_win3" 1.17812595600649
"42" "intron5_win3" 1.04904477916622
"43" "intron1_win3" 1.03959811035543
"44" "intron5_win1" 1.02404792211079
"45" "intron6_win1" 0.971454776412762
"46" "intron4_win2" 0.963889329868339
"47" "exon7_win2" 0.917544939782167
"48" "exon1_win1" 0.89282743043768
"49" "intron1_win2" 0.854408625327827
"50" "exon1_win2" 0.686187882799826
"51" "exon3_win2" 0.674356272792814
"52" "intron3_win3" 0.557081058377102
"53" "intron4_win1" 0.489296282676831
"54" "exon2_win3" 0.416313873390324
"55" "flank1_win2" 0.413261307450792
"56" "exon3_win3" 0.393842125239921
"57" "exon4_win3" 0.3287555061745
"58" "exon4_win2" 0.212300221405659
"59" "exon3_win1" 0.209097635022255
"60" "intron4_win3" 0.199262241250596
"61" "exon4_win1" 0.179902543335683
"62" "intron3_win2" 0
"63" "intron6_win3" 0
